Region,Description,IOIG code,Column group,Direct only,Year 1 $m,HEC category,Weight
NSW,"Vehicle operation (fuel, servicing, etc.) - Automotive repair and maintenance",9401,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.45
NSW,"Routine household maintenance - Building cleaning, pest control and other support services",7310,Q1_HFCE,N,,Routine household maintenance,0.6
NSW,Routine household maintenance - Other repair and maintenance,9402,Q1_HFCE,N,,Routine household maintenance,0.4
NSW,Clothing and footwear - Clothing manufacturing,1305,Q1_HFCE,N,,Clothing and footwear,0.8
NSW,Clothing and footwear - Footwear manufacturing,1306,Q1_HFCE,N,,Clothing and footwear,0.2
NSW,"Newspapers, books and stationery - Publishing (except internet and music publishing)",5401,Q1_HFCE,N,,"Newspapers, books and stationery",0.7
NSW,"Newspapers, books and stationery - Paper stationery and other converted paper product manufacturing",1502,Q1_HFCE,N,,"Newspapers, books and stationery",0.3
NSW,"Transport services, holidays and accommodation - Accommodation",4401,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.4
NSW,"Transport services, holidays and accommodation - Air and space transport",4901,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.35
NSW,"Transport services, holidays and accommodation - Road transport",4601,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.15
NSW,"Transport services, holidays and accommodation - Employment, travel agency and other administrative services",7210,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.1
NSW,Medical products and appliances - Human pharmaceutical and medicinal product manufacturing,1801,Q1_HFCE,N,,Medical products and appliances,1.0
NSW,Recreational and cultural services - Sports and recreation,9101,Q1_HFCE,N,,Recreational and cultural services,0.4
NSW,"Recreational and cultural services - Heritage, creative and performing arts",8901,Q1_HFCE,N,,Recreational and cultural services,0.25
NSW,Recreational and cultural services - Gambling,9201,Q1_HFCE,N,,Recreational and cultural services,0.25
NSW,Recreational and cultural services - Motion picture and sound recording,5501,Q1_HFCE,N,,Recreational and cultural services,0.1
NSW,Furniture and furnishings - Furniture manufacturing,2501,Q1_HFCE,N,,Furniture and furnishings,1.0
NSW,"Audio-visual, photographic and IT equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,"Audio-visual, photographic and IT equipment",1.0
NSW,Personal care - Personal services,9501,Q1_HFCE,N,,Personal care,0.55
NSW,Personal care - Cleaning compounds and toiletry preparation manufacturing,1804,Q1_HFCE,N,,Personal care,0.45
NSW,Rent - Actual rent for housing,6701,Q1_HFCE,N,,Rent,1.0
NSW,Catering services - Food and beverage services,4501,Q1_HFCE,N,,Catering services,1.0
NSW,Telephone and internet services - Telecommunication services,5801,Q1_HFCE,N,,Telephone and internet services,0.85
NSW,Telephone and internet services - Internet service providers and data processing,5701,Q1_HFCE,N,,Telephone and internet services,0.15
NSW,Dwelling repairs/maintenance/improvements - Construction services,3201,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.65
NSW,Dwelling repairs/maintenance/improvements - Residential building construction,3001,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.35
NSW,"Electricity, gas and other fuels - Electricity transmission, distribution, on selling",2605,Q1_HFCE,N,,"Electricity, gas and other fuels",0.7
NSW,"Electricity, gas and other fuels - Gas supply",2701,Q1_HFCE,N,,"Electricity, gas and other fuels",0.3
NSW,Health services - Health care services,8401,Q1_HFCE,N,,Health services,1.0
NSW,Food and non-alcoholic beverages - Other food product manufacturing,1109,Q1_HFCE,N,,Food and non-alcoholic beverages,0.28
NSW,Food and non-alcoholic beverages - Meat and meat product manufacturing,1101,Q1_HFCE,N,,Food and non-alcoholic beverages,0.18
NSW,Food and non-alcoholic beverages - Fruit and vegetable product manufacturing,1104,Q1_HFCE,N,,Food and non-alcoholic beverages,0.12
NSW,Food and non-alcoholic beverages - Dairy product manufacturing,1103,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
NSW,Food and non-alcoholic beverages - Bakery product manufacturing,1107,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
NSW,"Food and non-alcoholic beverages - Soft drinks, cordials and syrup manufacturing",1201,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
NSW,Food and non-alcoholic beverages - Grain mill and cereal product manufacturing,1106,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
NSW,Food and non-alcoholic beverages - Sugar and confectionery manufacturing,1108,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
NSW,Household appliances - Domestic appliance manufacturing,2404,Q1_HFCE,N,,Household appliances,1.0
NSW,"Tobacco - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Tobacco,1.0
NSW,Insurance (cash-outlay basis) - Insurance and superannuation funds,6301,Q1_HFCE,N,,Insurance (cash-outlay basis),1.0
NSW,Social protection and aged care - Residential care and social assistance services,8601,Q1_HFCE,N,,Social protection and aged care,1.0
NSW,"Alcoholic beverages - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Alcoholic beverages,0.6
NSW,Alcoholic beverages - Beer manufacturing,1202,Q1_HFCE,N,,Alcoholic beverages,0.4
NSW,"Rates, water and body corporate - Water supply, sewerage and drainage services",2801,Q1_HFCE,N,,"Rates, water and body corporate",0.45
NSW,"Rates, water and body corporate - Public administration and regulatory services",7501,Q1_HFCE,N,,"Rates, water and body corporate",0.35
NSW,"Rates, water and body corporate - Non-residential property operators and real estate services",6702,Q1_HFCE,N,,"Rates, water and body corporate",0.2
NSW,Motor vehicle purchase - Motor vehicles and parts; other transport equipment manufacturing,2301,Q1_HFCE,N,,Motor vehicle purchase,1.0
NSW,"Telephone equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,Telephone equipment,1.0
Vic,"Other recreation durables, gardens and pets - Other manufactured products",2502,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.55
Vic,"Other recreation durables, gardens and pets - Other agriculture",0103,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.25
Vic,"Other recreation durables, gardens and pets - Other food product manufacturing",1109,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.2
Vic,Financial and other services - Finance,6201,Q1_HFCE,N,,Financial and other services,0.7
Vic,Financial and other services - Auxiliary finance and insurance services,6401,Q1_HFCE,N,,Financial and other services,0.3
Vic,Personal effects - Other manufactured products,2502,Q1_HFCE,N,,Personal effects,1.0
Vic,"Household textiles, glassware and utensils - Textile product manufacturing",1303,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.45
Vic,"Household textiles, glassware and utensils - Glass and glass product manufacturing",2001,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
Vic,"Household textiles, glassware and utensils - Ceramic product manufacturing",2002,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.15
Vic,"Household textiles, glassware and utensils - Other fabricated metal product manufacturing",2204,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
Vic,Tools and equipment for house and garden - Other fabricated metal product manufacturing,2204,Q1_HFCE,N,,Tools and equipment for house and garden,0.6
Vic,Tools and equipment for house and garden - Specialised and other machinery and equipment manufacturing,2405,Q1_HFCE,N,,Tools and equipment for house and garden,0.4
Vic,Postal services - Postal and courier pick-up and delivery service,5101,Q1_HFCE,N,,Postal services,1.0
Vic,"Education - Arts, sports, adult and other education services",8210,Q1_HFCE,N,,Education,0.5
Vic,"Education - Technical, vocational and tertiary education services",8110,Q1_HFCE,N,,Education,0.35
Vic,Education - Primary and secondary education services,8010,Q1_HFCE,N,,Education,0.15
Vic,"Vehicle operation (fuel, servicing, etc.) - Petroleum and coal product manufacturing",1701,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.55
Vic,"Vehicle operation (fuel, servicing, etc.) - Automotive repair and maintenance",9401,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.45
Vic,"Routine household maintenance - Building cleaning, pest control and other support services",7310,Q1_HFCE,N,,Routine household maintenance,0.6
Vic,Routine household maintenance - Other repair and maintenance,9402,Q1_HFCE,N,,Routine household maintenance,0.4
Vic,Clothing and footwear - Clothing manufacturing,1305,Q1_HFCE,N,,Clothing and footwear,0.8
Vic,Clothing and footwear - Footwear manufacturing,1306,Q1_HFCE,N,,Clothing and footwear,0.2
Vic,"Newspapers, books and stationery - Publishing (except internet and music publishing)",5401,Q1_HFCE,N,,"Newspapers, books and stationery",0.7
Vic,"Newspapers, books and stationery - Paper stationery and other converted paper product manufacturing",1502,Q1_HFCE,N,,"Newspapers, books and stationery",0.3
Vic,"Transport services, holidays and accommodation - Accommodation",4401,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.4
Vic,"Transport services, holidays and accommodation - Air and space transport",4901,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.35
Vic,"Transport services, holidays and accommodation - Road transport",4601,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.15
Vic,"Transport services, holidays and accommodation - Employment, travel agency and other administrative services",7210,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.1
Vic,Medical products and appliances - Human pharmaceutical and medicinal product manufacturing,1801,Q1_HFCE,N,,Medical products and appliances,1.0
Vic,Recreational and cultural services - Sports and recreation,9101,Q1_HFCE,N,,Recreational and cultural services,0.4
Vic,"Recreational and cultural services - Heritage, creative and performing arts",8901,Q1_HFCE,N,,Recreational and cultural services,0.25
Vic,Recreational and cultural services - Gambling,9201,Q1_HFCE,N,,Recreational and cultural services,0.25
Vic,Recreational and cultural services - Motion picture and sound recording,5501,Q1_HFCE,N,,Recreational and cultural services,0.1
Vic,Furniture and furnishings - Furniture manufacturing,2501,Q1_HFCE,N,,Furniture and furnishings,1.0
Vic,"Audio-visual, photographic and IT equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,"Audio-visual, photographic and IT equipment",1.0
Vic,Personal care - Personal services,9501,Q1_HFCE,N,,Personal care,0.55
Vic,Personal care - Cleaning compounds and toiletry preparation manufacturing,1804,Q1_HFCE,N,,Personal care,0.45
Vic,Rent - Actual rent for housing,6701,Q1_HFCE,N,,Rent,1.0
Vic,Catering services - Food and beverage services,4501,Q1_HFCE,N,,Catering services,1.0
Vic,Telephone and internet services - Telecommunication services,5801,Q1_HFCE,N,,Telephone and internet services,0.85
Vic,Telephone and internet services - Internet service providers and data processing,5701,Q1_HFCE,N,,Telephone and internet services,0.15
Vic,Dwelling repairs/maintenance/improvements - Construction services,3201,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.65
Vic,Dwelling repairs/maintenance/improvements - Residential building construction,3001,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.35
Vic,"Electricity, gas and other fuels - Electricity transmission, distribution, on selling",2605,Q1_HFCE,N,,"Electricity, gas and other fuels",0.7
Vic,"Electricity, gas and other fuels - Gas supply",2701,Q1_HFCE,N,,"Electricity, gas and other fuels",0.3
Vic,Health services - Health care services,8401,Q1_HFCE,N,,Health services,1.0
Vic,Food and non-alcoholic beverages - Other food product manufacturing,1109,Q1_HFCE,N,,Food and non-alcoholic beverages,0.28
Vic,Food and non-alcoholic beverages - Meat and meat product manufacturing,1101,Q1_HFCE,N,,Food and non-alcoholic beverages,0.18
Vic,Food and non-alcoholic beverages - Fruit and vegetable product manufacturing,1104,Q1_HFCE,N,,Food and non-alcoholic beverages,0.12
Vic,Food and non-alcoholic beverages - Dairy product manufacturing,1103,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
Vic,Food and non-alcoholic beverages - Bakery product manufacturing,1107,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
Vic,"Food and non-alcoholic beverages - Soft drinks, cordials and syrup manufacturing",1201,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
Vic,Food and non-alcoholic beverages - Grain mill and cereal product manufacturing,1106,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
Vic,Food and non-alcoholic beverages - Sugar and confectionery manufacturing,1108,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
Vic,Household appliances - Domestic appliance manufacturing,2404,Q1_HFCE,N,,Household appliances,1.0
Vic,"Tobacco - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Tobacco,1.0
Vic,Insurance (cash-outlay basis) - Insurance and superannuation funds,6301,Q1_HFCE,N,,Insurance (cash-outlay basis),1.0
Vic,Social protection and aged care - Residential care and social assistance services,8601,Q1_HFCE,N,,Social protection and aged care,1.0
Vic,"Alcoholic beverages - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Alcoholic beverages,0.6
Vic,Alcoholic beverages - Beer manufacturing,1202,Q1_HFCE,N,,Alcoholic beverages,0.4
Vic,"Rates, water and body corporate - Water supply, sewerage and drainage services",2801,Q1_HFCE,N,,"Rates, water and body corporate",0.45
Vic,"Rates, water and body corporate - Public administration and regulatory services",7501,Q1_HFCE,N,,"Rates, water and body corporate",0.35
Vic,"Rates, water and body corporate - Non-residential property operators and real estate services",6702,Q1_HFCE,N,,"Rates, water and body corporate",0.2
Vic,Motor vehicle purchase - Motor vehicles and parts; other transport equipment manufacturing,2301,Q1_HFCE,N,,Motor vehicle purchase,1.0
Vic,"Telephone equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,Telephone equipment,1.0
QLD,"Other recreation durables, gardens and pets - Other manufactured products",2502,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.55
QLD,"Other recreation durables, gardens and pets - Other agriculture",0103,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.25
QLD,"Other recreation durables, gardens and pets - Other food product manufacturing",1109,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.2
QLD,Financial and other services - Finance,6201,Q1_HFCE,N,,Financial and other services,0.7
QLD,Financial and other services - Auxiliary finance and insurance services,6401,Q1_HFCE,N,,Financial and other services,0.3
QLD,Personal effects - Other manufactured products,2502,Q1_HFCE,N,,Personal effects,1.0
QLD,"Household textiles, glassware and utensils - Textile product manufacturing",1303,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.45
QLD,"Household textiles, glassware and utensils - Glass and glass product manufacturing",2001,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
QLD,"Household textiles, glassware and utensils - Ceramic product manufacturing",2002,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.15
QLD,"Household textiles, glassware and utensils - Other fabricated metal product manufacturing",2204,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
QLD,Tools and equipment for house and garden - Other fabricated metal product manufacturing,2204,Q1_HFCE,N,,Tools and equipment for house and garden,0.6
QLD,Tools and equipment for house and garden - Specialised and other machinery and equipment manufacturing,2405,Q1_HFCE,N,,Tools and equipment for house and garden,0.4
QLD,Postal services - Postal and courier pick-up and delivery service,5101,Q1_HFCE,N,,Postal services,1.0
QLD,"Education - Arts, sports, adult and other education services",8210,Q1_HFCE,N,,Education,0.5
QLD,"Education - Technical, vocational and tertiary education services",8110,Q1_HFCE,N,,Education,0.35
QLD,Education - Primary and secondary education services,8010,Q1_HFCE,N,,Education,0.15
QLD,"Vehicle operation (fuel, servicing, etc.) - Petroleum and coal product manufacturing",1701,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.55
QLD,"Vehicle operation (fuel, servicing, etc.) - Automotive repair and maintenance",9401,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.45
QLD,"Routine household maintenance - Building cleaning, pest control and other support services",7310,Q1_HFCE,N,,Routine household maintenance,0.6
QLD,Routine household maintenance - Other repair and maintenance,9402,Q1_HFCE,N,,Routine household maintenance,0.4
QLD,Clothing and footwear - Clothing manufacturing,1305,Q1_HFCE,N,,Clothing and footwear,0.8
QLD,Clothing and footwear - Footwear manufacturing,1306,Q1_HFCE,N,,Clothing and footwear,0.2
QLD,"Newspapers, books and stationery - Publishing (except internet and music publishing)",5401,Q1_HFCE,N,,"Newspapers, books and stationery",0.7
QLD,"Newspapers, books and stationery - Paper stationery and other converted paper product manufacturing",1502,Q1_HFCE,N,,"Newspapers, books and stationery",0.3
QLD,"Transport services, holidays and accommodation - Accommodation",4401,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.4
QLD,"Transport services, holidays and accommodation - Air and space transport",4901,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.35
QLD,"Transport services, holidays and accommodation - Road transport",4601,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.15
QLD,"Transport services, holidays and accommodation - Employment, travel agency and other administrative services",7210,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.1
QLD,Medical products and appliances - Human pharmaceutical and medicinal product manufacturing,1801,Q1_HFCE,N,,Medical products and appliances,1.0
QLD,Recreational and cultural services - Sports and recreation,9101,Q1_HFCE,N,,Recreational and cultural services,0.4
QLD,"Recreational and cultural services - Heritage, creative and performing arts",8901,Q1_HFCE,N,,Recreational and cultural services,0.25
QLD,Recreational and cultural services - Gambling,9201,Q1_HFCE,N,,Recreational and cultural services,0.25
QLD,Recreational and cultural services - Motion picture and sound recording,5501,Q1_HFCE,N,,Recreational and cultural services,0.1
QLD,Furniture and furnishings - Furniture manufacturing,2501,Q1_HFCE,N,,Furniture and furnishings,1.0
QLD,"Audio-visual, photographic and IT equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,"Audio-visual, photographic and IT equipment",1.0
QLD,Personal care - Personal services,9501,Q1_HFCE,N,,Personal care,0.55
QLD,Personal care - Cleaning compounds and toiletry preparation manufacturing,1804,Q1_HFCE,N,,Personal care,0.45
QLD,Rent - Actual rent for housing,6701,Q1_HFCE,N,,Rent,1.0
QLD,Catering services - Food and beverage services,4501,Q1_HFCE,N,,Catering services,1.0
QLD,Telephone and internet services - Telecommunication services,5801,Q1_HFCE,N,,Telephone and internet services,0.85
QLD,Telephone and internet services - Internet service providers and data processing,5701,Q1_HFCE,N,,Telephone and internet services,0.15
QLD,Dwelling repairs/maintenance/improvements - Construction services,3201,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.65
QLD,Dwelling repairs/maintenance/improvements - Residential building construction,3001,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.35
QLD,"Electricity, gas and other fuels - Electricity transmission, distribution, on selling",2605,Q1_HFCE,N,,"Electricity, gas and other fuels",0.7
QLD,"Electricity, gas and other fuels - Gas supply",2701,Q1_HFCE,N,,"Electricity, gas and other fuels",0.3
QLD,Health services - Health care services,8401,Q1_HFCE,N,,Health services,1.0
QLD,Food and non-alcoholic beverages - Other food product manufacturing,1109,Q1_HFCE,N,,Food and non-alcoholic beverages,0.28
QLD,Food and non-alcoholic beverages - Meat and meat product manufacturing,1101,Q1_HFCE,N,,Food and non-alcoholic beverages,0.18
QLD,Food and non-alcoholic beverages - Fruit and vegetable product manufacturing,1104,Q1_HFCE,N,,Food and non-alcoholic beverages,0.12
QLD,Food and non-alcoholic beverages - Dairy product manufacturing,1103,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
QLD,Food and non-alcoholic beverages - Bakery product manufacturing,1107,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
QLD,"Food and non-alcoholic beverages - Soft drinks, cordials and syrup manufacturing",1201,Q1_HFCE,N,,Food and non-alcoholic beverages,0.1
QLD,Food and non-alcoholic beverages - Grain mill and cereal product manufacturing,1106,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
QLD,Food and non-alcoholic beverages - Sugar and confectionery manufacturing,1108,Q1_HFCE,N,,Food and non-alcoholic beverages,0.06
QLD,Household appliances - Domestic appliance manufacturing,2404,Q1_HFCE,N,,Household appliances,1.0
QLD,"Tobacco - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Tobacco,1.0
QLD,Insurance (cash-outlay basis) - Insurance and superannuation funds,6301,Q1_HFCE,N,,Insurance (cash-outlay basis),1.0
QLD,Social protection and aged care - Residential care and social assistance services,8601,Q1_HFCE,N,,Social protection and aged care,1.0
QLD,"Alcoholic beverages - Wine, spirits and tobacco",1205,Q1_HFCE,N,,Alcoholic beverages,0.6
QLD,Alcoholic beverages - Beer manufacturing,1202,Q1_HFCE,N,,Alcoholic beverages,0.4
QLD,"Rates, water and body corporate - Water supply, sewerage and drainage services",2801,Q1_HFCE,N,,"Rates, water and body corporate",0.45
QLD,"Rates, water and body corporate - Public administration and regulatory services",7501,Q1_HFCE,N,,"Rates, water and body corporate",0.35
QLD,"Rates, water and body corporate - Non-residential property operators and real estate services",6702,Q1_HFCE,N,,"Rates, water and body corporate",0.2
QLD,Motor vehicle purchase - Motor vehicles and parts; other transport equipment manufacturing,2301,Q1_HFCE,N,,Motor vehicle purchase,1.0
QLD,"Telephone equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,Telephone equipment,1.0
SA,"Other recreation durables, gardens and pets - Other manufactured products",2502,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.55
SA,"Other recreation durables, gardens and pets - Other agriculture",0103,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.25
SA,"Other recreation durables, gardens and pets - Other food product manufacturing",1109,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.2
SA,Financial and other services - Finance,6201,Q1_HFCE,N,,Financial and other services,0.7
SA,Financial and other services - Auxiliary finance and insurance services,6401,Q1_HFCE,N,,Financial and other services,0.3
SA,Personal effects - Other manufactured products,2502,Q1_HFCE,N,,Personal effects,1.0
SA,"Household textiles, glassware and utensils - Textile product manufacturing",1303,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.45
SA,"Household textiles, glassware and utensils - Glass and glass product manufacturing",2001,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
SA,"Household textiles, glassware and utensils - Ceramic product manufacturing",2002,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.15
SA,"Household textiles, glassware and utensils - Other fabricated metal product manufacturing",2204,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
SA,Tools and equipment for house and garden - Other fabricated metal product manufacturing,2204,Q1_HFCE,N,,Tools and equipment for house and garden,0.6
SA,Tools and equipment for house and garden - Specialised and other machinery and equipment manufacturing,2405,Q1_HFCE,N,,Tools and equipment for house and garden,0.4
SA,Postal services - Postal and courier pick-up and delivery service,5101,Q1_HFCE,N,,Postal services,1.0
SA,"Education - Arts, sports, adult and other education services",8210,Q1_HFCE,N,,Education,0.5
SA,"Education - Technical, vocational and tertiary education services",8110,Q1_HFCE,N,,Education,0.35
SA,Education - Primary and secondary education services,8010,Q1_HFCE,N,,Education,0.15
SA,"Vehicle operation (fuel, servicing, etc.) - Petroleum and coal product manufacturing",1701,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.55
SA,"Vehicle operation (fuel, servicing, etc.) - Automotive repair and maintenance",9401,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.45
SA,"Routine household maintenance - Building cleaning, pest control and other support services",7310,Q1_HFCE,N,,Routine household maintenance,0.6
SA,Routine household maintenance - Other repair and maintenance,9402,Q1_HFCE,N,,Routine household maintenance,0.4
SA,Clothing and footwear - Clothing manufacturing,1305,Q1_HFCE,N,,Clothing and footwear,0.8
SA,Clothing and footwear - Footwear manufacturing,1306,Q1_HFCE,N,,Clothing and footwear,0.2
SA,"Newspapers, books and stationery - Publishing (except internet and music publishing)",5401,Q1_HFCE,N,,"Newspapers, books and stationery",0.7
SA,"Newspapers, books and stationery - Paper stationery and other converted paper product manufacturing",1502,Q1_HFCE,N,,"Newspapers, books and stationery",0.3
SA,"Transport services, holidays and accommodation - Accommodation",4401,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.4
SA,"Transport services, holidays and accommodation - Air and space transport",4901,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.35
SA,"Transport services, holidays and accommodation - Road transport",4601,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.15
SA,"Transport services, holidays and accommodation - Employment, travel agency and other administrative services",7210,Q1_HFCE,N,,"Transport services, holidays and accommodation",0.1
SA,Medical products and appliances - Human pharmaceutical and medicinal product manufacturing,1801,Q1_HFCE,N,,Medical products and appliances,1.0
SA,Recreational and cultural services - Sports and recreation,9101,Q1_HFCE,N,,Recreational and cultural services,0.4
SA,"Recreational and cultural services - Heritage, creative and performing arts",8901,Q1_HFCE,N,,Recreational and cultural services,0.25
SA,Recreational and cultural services - Gambling,9201,Q1_HFCE,N,,Recreational and cultural services,0.25
SA,Recreational and cultural services - Motion picture and sound recording,5501,Q1_HFCE,N,,Recreational and cultural services,0.1
SA,Furniture and furnishings - Furniture manufacturing,2501,Q1_HFCE,N,,Furniture and furnishings,1.0
SA,"Audio-visual, photographic and IT equipment - Professional, scientific, computer and electronic equipment manufacturing",2401,Q1_HFCE,N,,"Audio-visual, photographic and IT equipment",1.0
SA,Personal care - Personal services,9501,Q1_HFCE,N,,Personal care,0.55
SA,Personal care - Cleaning compounds and toiletry preparation manufacturing,1804,Q1_HFCE,N,,Personal care,0.45
SA,Rent - Actual rent for housing,6701,Q1_HFCE,N,,Rent,1.0
SA,Catering services - Food and beverage services,4501,Q1_HFCE,N,,Catering services,1.0
SA,Telephone and internet services - Telecommunication services,5801,Q1_HFCE,N,,Telephone and internet services,0.85
SA,Telephone and internet services - Internet service providers and data processing,5701,Q1_HFCE,N,,Telephone and internet services,0.15
SA,Dwelling repairs/maintenance/improvements - Construction services,3201,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.65
SA,Dwelling repairs/maintenance/improvements - Residential building construction,3001,Q1_HFCE,N,,Dwelling repairs/maintenance/improvements,0.35
SA,"Electricity, gas and other fuels - Electricity transmission, distribution, on selling",2605,Q1_HFCE,N,,"Electricity, gas and other fuels",0.7
SA,"Electricity, gas and other fuels - Gas supply",2701,Q1_HFCE,N,,"Electricity, gas and other fuels",0.3
SA,Health services - Health care services,8401,Q1_HFCE,N,,Health services,1.0
